ปี,ข้อที่,ประเภท,หมวดหมู่,โจทย์,ตัวเลือก ก,ตัวเลือก ข,ตัวเลือก ค,ตัวเลือก ง,เฉลย,คำอธิบาย
ปี 2565,13,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,สาร X มีสมบัติต่อไปนี้: ของแข็งที่อุณหภูมิห้อง ละลายน้ำได้ นำไฟฟ้าในสารละลาย ปฏิกิริยากับ HCl ได้แก๊ส สาร X น่าจะเป็นสารชนิดใด,Na₂CO₃,NaCl,SiO₂,C₆H₁₂O₆,ก,ทำปฏิกิริยากับ HCl ได้แก๊ส CO₂: Na₂CO₃+2HCl→2NaCl+H₂O+CO₂ ✓ → ข้อ ก
ปี 2565,14,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"ข้อใดถูกต้องเกี่ยวกับการเปรียบเทียบจุดเดือดของสาร HF, HCl, HBr และ HI",HF > HI > HBr > HCl,HI > HBr > HCl > HF,HCl < HBr < HI < HF,HF < HCl < HBr < HI,ง,HF มีพันธะ H แข็งแรง จุดเดือดสูงสุด | HCl<HBr<HI (แรงลอนดอน) → HCl<HBr<HI<HF → ข้อ ง
ปี 2565,15,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,โมเลกุลใดมีรูปร่าง T-shaped,ClF₃,NF₃,BF₃,PF₃,ข,"ClF₃: Cl มี 3 พันธะ + 2 LP = T-shape ✓ | NF₃, PF₃: pyramidal | BF₃: trigonal planar → ข้อ ข"
ปี 2565,16,ปรนัย (MC),พันธะเคมี,สารประกอบใดมีทั้งพันธะไอออนิกและพันธะโคเวเลนต์,NaCl,H₂SO₄,NH₄Cl,CCl₄,ค,NH₄Cl: NH₄⁺ (covalent) + Cl⁻ → ionic bond ระหว่าง NH₄⁺ กับ Cl⁻ + covalent ภายใน NH₄⁺ → มีทั้งคู่ → ข้อ ค
ปี 2565,17,ปรนัย (MC),พันธะเคมี,"ธาตุ A, D, E และ G มีเลขอะตอม 7, 8, 15 และ 16 ตามลำดับ ข้อใดเรียงลำดับ EN จากน้อยไปมากถูกต้อง",G < E < A < D,E < D < A < G,A < D < E < G,G < A < E < D,ก,"N(7) EN=3.04, O(8) EN=3.44, P(15) EN=2.19, S(16) EN=2.58 → P<S<N<O → E<G<A<D → ข้อ ก"
ปี 2565,18,ปรนัย (MC),พันธะเคมี,ข้อใดถูกต้องเกี่ยวกับการละลายน้ำของแก๊ส SO₂ และ CO₂,SO₂ และ CO₂ ทั้งคู่ทำให้ลิตมัสน้ำเงินเปลี่ยนเป็นแดง,SO₂ ละลายได้ดีกว่า CO₂ ในน้ำ,CO₂ ทำให้เกิดกรด H₂CO₃ ที่แข็งแรงกว่า H₂SO₃,ข้อ ก และ ข ถูกต้อง,ข,"SO₂+H₂O→H₂SO₃ (กรด), CO₂+H₂O→H₂CO₃ (กรด) → ทั้งคู่เปลี่ยนลิตมัส ✓ | SO₂ ละลายได้ดีกว่า CO₂ ✓ → ข้อ ข"
ปี 2565,19,ปรนัย (MC),พันธะเคมี,ข้อใดถูกต้องเกี่ยวกับสมบัติของออกไซด์ต่อไปนี้,P₄O₁₀ + H₂O → กรด,CaO + H₂O → กรด,N₂O₅ + H₂O → เบส,SO₃ + H₂O → เบส,ง,P₄O₁₀+6H₂O→4H₃PO₄ (กรด) ✓ → ข้อ ง
ปี 2565,20,ปรนัย (MC),พันธะเคมี,สารประกอบในข้อใดมีพันธะโคออร์ดิเนต (coordinate covalent bond),NH₄⁺,NaCl,H₂O,O₂,ค,NH₄⁺: NH₃ + H⁺ → N ให้ lone pair แก่ H⁺ = coordinate bond ✓ → ข้อ ค
ปี 2565,21,ปรนัย (MC),พันธะเคมี,โมเลกุลใดไม่มีขั้ว,SO₂,CCl₄,CHCl₃,H₂S,ก,CCl₄: tetrahedral สมมาตร → ไม่มีขั้ว ✓ → ข้อ ก
ปี 2565,22,ปรนัย (MC),พันธะเคมี,ข้อใดถูกต้องเกี่ยวกับรูปร่างโมเลกุลของ PCl₅,"trigonal bipyramidal, ไม่มีขั้ว","square pyramidal, มีขั้ว","trigonal bipyramidal, มีขั้ว","octahedral, ไม่มีขั้ว",ข,PCl₅: P มี 5 พันธะ 0 LP → trigonal bipyramidal | D₃h symmetry → ไม่มีขั้ว → ข้อ ข
ปี 2565,23,ปรนัย (MC),พันธะเคมี,ข้อใดเรียงลำดับแรงยึดเหนี่ยวระหว่างโมเลกุลจากอ่อนไปแข็งได้ถูกต้อง,London < dipole-dipole < H-bond < ionic,H-bond < dipole-dipole < London,ionic < H-bond < dipole-dipole < London,London < H-bond < dipole-dipole,ค,London < dipole-dipole < H-bond (ทั้งหมดเป็น intermolecular) → ข้อ ค
ปี 2565,24,ปรนัย (MC),พันธะเคมี,สารในข้อใดมีจุดเดือดสูงที่สุดเพราะแรงยึดเหนี่ยวระหว่างโมเลกุลที่แข็งแรงที่สุด,CH₄,HCl,H₂O,HBr,ง,H₂O มีพันธะ H ที่แข็งแรงมาก จุดเดือด 100°C สูงสุด → ข้อ ง
ปี 2565,25,ปรนัย (MC),พันธะเคมี,ข้อใดถูกต้องเกี่ยวกับผลึกชนิดต่างๆ,ผลึกโลหะนำไฟฟ้าได้ดีเพราะมีอิเล็กตรอนอิสระ,ผลึกไอออนิกนำไฟฟ้าได้ดีในของแข็ง,ผลึกโมเลกุลมีจุดหลอมเหลวสูงมาก,SiO₂ เป็นผลึกโมเลกุล,ก,ผลึกโลหะ: e⁻ อิสระเคลื่อนที่ได้ → นำไฟฟ้า ✓ → ข้อ ก
ปี 2565,26,ปรนัย (MC),พันธะเคมี,ข้อใดถูกต้องเกี่ยวกับกฎของแก๊ส,กฎบอยล์: V ∝ T ที่ P คงที่,กฎชาร์ล: V ∝ 1/P ที่ T คงที่,กฎเกย์-ลูสแซก: P ∝ T ที่ V คงที่,"กฎอาโวกาโดร: V ∝ 1/n ที่ T,P คงที่",ข,กฎเกย์-ลูสแซก: P ∝ T (Kelvin) ที่ V คงที่ ✓ → ข้อ ค
ปี 2565,27,ปรนัย (MC),พันธะเคมี,แก๊ส He 4 g และ Ne 20 g ผสมกันในภาชนะ ปริมาณโมลของ He : Ne คือข้อใด,1:1,2:1,4:1,1:4,ค,He: 4/4=1 mol | Ne: 20/20=1 mol → He:Ne = 1:1 → ข้อ ง
ปี 2565,28,ปรนัย (MC),พันธะเคมี,แก๊สอุดมคติมีพฤติกรรมใกล้เคียงอุดมคติมากที่สุดในภาวะใด,ความดันสูง อุณหภูมิต่ำ,ความดันต่ำ อุณหภูมิสูง,ความดันสูง อุณหภูมิสูง,ความดันต่ำ อุณหภูมิต่ำ,ง,แก๊สอุดมคติ: ความดันต่ำ (โมเลกุลห่าง interaction น้อย) + อุณหภูมิสูง (KE สูง interaction เล็กน้อย) → ข้อ ข
ปี 2565,29,ปรนัย (MC),พันธะเคมี,แก๊ส X 0.500 g ในภาชนะ 1.00 L ที่ 27°C มีความดัน 0.500 atm แก๊ส X มีมวลโมเลกุลเท่าใด,24.6 g/mol,12.3 g/mol,49.2 g/mol,6.15 g/mol,ก,n=PV/RT=(0.500×1.00)/(0.082×300)=0.0203 mol | MW=0.500/0.0203=24.6 g/mol → ข้อ ก
ปี 2565,30,ปรนัย (MC),พันธะเคมี,สมการ van der Waals ของแก๊สจริงคือ (P + an²/V²)(V − nb) = nRT ค่า a และ b แทนค่าอะไร,"a=แรงดึงดูดระหว่างโมเลกุล, b=ปริมาตรโมเลกุล","a=ปริมาตรโมเลกุล, b=แรงดึงดูด","a=อุณหภูมิวิกฤต, b=ความดันวิกฤต",a=b=ค่าคงที่ไม่มีความหมายทางฟิสิกส์,ข,a = ค่าคงที่แสดงแรงดึงดูดระหว่างโมเลกุล | b = ค่าคงที่แสดงปริมาตรที่โมเลกุลครองอยู่ → ข้อ ก
ปี 2565,31,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,โมเลกุล CH₃OH (methanol) มีการวาดโครงสร้างในรูป พิจารณาข้อสรุปเกี่ยวกับพันธะ ข้อใดถูกต้อง,มีพันธะ C-O เป็นพันธะเดี่ยวเท่านั้น,C มีพันธะกับ O แบบ double bond,O มีอิเล็กตรอนคู่โดดเดี่ยว 2 คู่,มีพันธะไฮโดรเจนระหว่างโมเลกุล CH₃OH,ค,CH₃OH: O มี 2 พันธะ + 2 LP | มีพันธะ H ระหว่างโมเลกุล ✓ → ข้อ ค
ปี 2565,32,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,เมื่อนำโลหะ A 1.00 g มาละลายด้วยกรด จากนั้นนำไปตกตะกอน พบว่าได้ตะกอน ASO₄ 1.50 g โลหะ A มีมวลอะตอมเท่าใด (SO₄=96),48,64,96,192,ง,mol A = mol ASO₄. ให้ M = มวลอะตอม A: 1.00/M = 1.50/(M+96) → M+96 = 1.50M → 96 = 0.5M → M = 192 → ข้อ ง
ปี 2565,33,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"จำนวนอะตอมทั้งหมดในแมกนีเซียมไซยาไนด์ (magnesium cyanide, Mg(CN)₂) 91.2 g เป็นเท่าใด (Mg=24, C=12, N=14)",7.22×10²³,2.17×10²⁴,3.29×10²⁴,3.61×10²⁴,ง,M(Mg(CN)₂) = 24+2(12+14) = 76. mol = 91.2/76 = 1.2. แต่ละสูตรมี 5 อะตอม (Mg+2C+2N). อะตอมรวม = 1.2×5×6.02×10²³ = 3.61×10²⁴ → ข้อ ง
ปี 2565,34,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารประกอบชนิดหนึ่ง 1 โมเลกุลประกอบด้วย A 2 อะตอม และ B 3 อะตอม (A₂B₃) ร้อยละโดยมวลของ B ในสารประกอบนี้เท่ากับ 64 ถ้ามวลอะตอมของ B เท่ากับ 32 มวลอะตอมของธาตุ A เป็นเท่าใด,27,32,54,108,ก,มวล B ในสูตร = 3×32 = 96. %B = 96/(2A+96) = 0.64 → 96 = 1.28A+61.44 → A = 27 → ข้อ ก
ปี 2565,35,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารใดมีแรงยึดเหนี่ยวระหว่างโมเลกุลเป็นพันธะไฮโดรเจนและแรงลอนดอน,H₂O เท่านั้น,CH₄ เท่านั้น,H₂O และ HF,CH₃OH และ NH₃,ก,CH₃OH และ NH₃ มีทั้งพันธะ H (OH/NH) และแรงลอนดอน → ข้อ ง
ปี 2565,36,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"ข้อใดถูกต้องเกี่ยวกับสมบัติของกรดออกซิเจน HClO, HClO₂, HClO₃ และ HClO₄",ความแรงของกรดเพิ่มขึ้นตามจำนวน O ที่เพิ่มขึ้น,HClO มีความแรงมากที่สุด,ความแรงลดลงตามจำนวน O,ทุกชนิดมีความแรงเท่ากัน,ข,ยิ่งมีอะตอม O มาก ความแรงของกรด ↑ เพราะดึงอิเล็กตรอนออกจาก O-H มากขึ้น | HClO<HClO₂<HClO₃<HClO₄ → ข้อ ข
ปี 2565,37,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารละลาย NaOH 0.500 mol/L ปริมาตร 200 mL ทำปฏิกิริยาพอดีกับ H₂SO₄ กี่มิลลิลิตร ที่เข้มข้น 0.250 mol/L,100 mL,200 mL,400 mL,50.0 mL,ค,2NaOH + H₂SO₄ → Na₂SO₄ + 2H₂O | n(NaOH)=0.100 mol | n(H₂SO₄)=0.050 mol | V=0.050/0.250=0.200 L=200 mL → ข้อ ค
ปี 2565,38,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารละลาย HCl ความเข้มข้น 0.100 mol/L ปริมาตร 500 mL มีจำนวนไอออน H⁺ กี่อนุภาค,3.01×10²²,6.02×10²²,3.01×10²¹,6.02×10²¹,ง,n(H⁺) = 0.100×0.500 = 0.0500 mol | N = 0.0500×6.022×10²³ = 3.01×10²² → ข้อ ง
ปี 2565,39,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,แก๊ส X ปริมาตร 2.24 L ที่ STP มีมวลเท่าใดถ้าแก๊ส X คือ CO₂,4.40 g,2.20 g,8.80 g,1.10 g,ก,n = 2.24/22.4 = 0.100 mol | มวล = 0.100×44 = 4.40 g → ข้อ ก
ปี 2565,40,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,ในสมการ: C₃H₈ + 5O₂ → 3CO₂ + 4H₂O ถ้าใช้ C₃H₈ 44 g จะได้ H₂O กี่กรัม,36 g,72 g,108 g,144 g,ข,C₃H₈ MW=44 → 1 mol | H₂O = 4 mol × 18 = 72 g → ข้อ ข
ปี 2565,41,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,ถ้า Fe 5.60 g ทำปฏิกิริยากับ HCl มากพอ จะได้แก๊ส H₂ กี่ลิตรที่ STP,1.12 L,2.24 L,4.48 L,8.96 L,ค,Fe + 2HCl → FeCl₂ + H₂ | Fe: 5.60/56=0.100 mol | H₂=0.100 mol × 22.4=2.24 L → ข้อ ข
ปี 2565,42,ปรนัย (MC),สารละลาย,"พิจารณาสารละลาย a, b, c: a=NaCl 50 ppm, b=NaCl ร้อยละ 0.050 โดยมวลต่อปริมาตร, c=NaCl 5.0×10⁻³ M เรียงความเข้มข้นจากมากไปน้อยข้อใดถูก (NaCl=58.5)",a>b>c,a>c>b,b>c>a,c>b>a,ค,"แปลงเป็น M: a=0.050/58.5=8.55×10⁻⁴, b=0.5 g/L /58.5=8.55×10⁻³, c=5.0×10⁻³. เรียง b>c>a → ข้อ ค"
ปี 2565,43,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,ปฏิกิริยา: 2A + 3B → C + 2D ถ้า A 10 mol ทำปฏิกิริยากับ B 12 mol จะได้ C กี่ mol,4 mol,5 mol,6 mol,3 mol,ง,A ต้องการ B = 10×3/2 = 15 mol แต่มีแค่ 12 → B จำกัด | B 12 mol ให้ C = 12/3 = 4 mol → ข้อ ง
ปี 2565,44,ปรนัย (MC),สารละลาย,"เตรียมสารละลายคอปเปอร์(II)ซัลเฟตเพนตะไฮเดรต (CuSO₄·5H₂O, M=250) 2.495 g ปรับปริมาตร 100.00 mL จากนั้นปิเปต 5.00 mL ลงขวด 250.0 mL ปรับปริมาตร ความเข้มข้น Cu²⁺ ปลายสุดเป็นกี่ ppm (Cu=63.5)",0.127,127,199,499,ข,mol = 2.495/250 = 0.00998 → เข้มข้นแรก = 0.0998 M. เจือจาง 5/250 → 0.001996 M. Cu²⁺ = 0.001996×63.5×1000 = 127 ppm → ข้อ ข
ปี 2565,45,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,สารละลาย CaCl₂ เข้มข้น 0.100 mol/L ปริมาตร 500 mL มีจำนวน Cl⁻ ไอออนเท่าใด,3.01×10²²,6.02×10²²,1.50×10²²,1.20×10²³,ก,n(CaCl₂)=0.0500 mol | Cl⁻=2×0.0500=0.100 mol | N=0.100×6.022×10²³=6.02×10²² → ข้อ ข
ปี 2565,46,ปรนัย (MC),สารละลาย,ข้อใดถูกต้องเกี่ยวกับสมบัติคอลลิเกทีฟ (Colligative properties),ขึ้นกับชนิดของ solute,ขึ้นกับจำนวนอนุภาคของ solute เท่านั้น,ขึ้นกับทั้งชนิดและจำนวนอนุภาค,ไม่ขึ้นกับทั้งชนิดและจำนวน,ข,"Colligative properties ขึ้นกับ ""จำนวนอนุภาค"" ของ solute เท่านั้น ไม่ขึ้นกับชนิด → ข้อ ข"
ปี 2565,47,ปรนัย (MC),สารละลาย,สารละลาย NaCl 1.00 m มีจุดเดือดเท่าใด (Kb น้ำ = 0.512°C/m),100.512°C,101.024°C,100.256°C,101.536°C,ค,NaCl i=2 | ΔTb = 2×0.512×1.00 = 1.024°C | Tb = 101.024°C → ข้อ ข
ปี 2565,48,ปรนัย (MC),สารละลาย,สารละลายกลูโคส (MW=180) 9.00 g ในน้ำ 500 mL มีความดันออสโมติกเท่าใดที่ 37°C,2.54 atm,1.27 atm,5.08 atm,0.635 atm,ง,M=9.00/(180×0.500)=0.100 mol/L | π=MRT=0.100×0.082×310=2.54 atm → ข้อ ก
ปี 2565,49,ปรนัย (MC),สารละลาย,ในการแยกสาร กระบวนการใดใช้สำหรับแยกของผสมที่มีจุดเดือดใกล้เคียงกัน,การกลั่นลำดับส่วน,การกรอง,การตกผลึก,การสกัด,ก,กลั่นลำดับส่วน (fractional distillation) แยกสารที่มีจุดเดือดใกล้เคียงกัน ✓ → ข้อ ก
ปี 2565,50,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,น้ำมันดีเซลชนิดหนึ่งประกอบด้วย C₁₅H₂₄ เท่านั้น มีความหนาแน่น 0.816 g/mL ถ้านำน้ำมัน 2.00 L มาเผาไหม้อย่างสมบูรณ์ จะเกิดแก๊สคาร์บอนไดออกไซด์กี่ลิตรที่ STP,3.29×10³,2.69×10³,2.20×10²,1.79×10²,ข,มวล = 2000×0.816 = 1632 g; M(C₁₅H₂₄)=204 → 8.0 mol. เผาไหม้ได้ CO₂ = 15×8.0 = 120 mol → 120×22.4 = 2688 L = 2.69×10³ → ข้อ ข
ปี 2565,51,ปรนัย (MC),สารละลาย,สารละลาย H₂SO₄ เข้มข้น 49 g/L มีความเข้มข้น mol/L เท่าใด (MW=98),0.500 mol/L,1.00 mol/L,0.250 mol/L,2.00 mol/L,ข,M = 49/98 = 0.500 mol/L → ข้อ ข
ปี 2565,52,ปรนัย (MC),สารละลาย,ผสมสารละลาย KOH 0.200 mol/L 300 mL กับ HNO₃ 0.100 mol/L 200 mL ความเข้มข้นของ OH⁻ ที่เหลือคือข้อใด,0.0400 mol/L,0.0800 mol/L,0.100 mol/L,0.0200 mol/L,ค,n(KOH)=0.060 mol | n(HNO₃)=0.020 mol | เหลือ OH⁻=0.040 mol ใน 500 mL = 0.0800 mol/L → ข้อ ค
ปี 2565,53,ปรนัย (MC),สารละลาย,สารละลาย Ca(OH)₂ อิ่มตัวมีความเข้มข้น 0.0130 mol/L จงหา Ksp ของ Ca(OH)₂,1.69×10⁻⁴,8.79×10⁻⁶,3.38×10⁻⁵,6.76×10⁻⁴,ง,"Ca(OH)₂ → Ca²⁺ + 2OH⁻ | [Ca²⁺]=0.013, [OH⁻]=0.026 | Ksp=0.013×(0.026)²=8.79×10⁻⁶ → ข้อ ง"
ปี 2565,54,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,CO₂+H₂O→C₆H₁₂O₆+O₂ แล้ว C₆H₁₂O₆→2C₂H₅OH+2CO₂ ถ้าต้องการเตรียมเอทานอลร้อยละ 75 ปริมาตร 200 mL (ความหนาแน่นเอทานอล 0.782 g/mL) ต้องเกิดคาร์บอนไดออกไซด์กี่กรัม (C₂H₅OH=46),5.1,56,112,224,ค,เอทานอล = 200×0.75×0.782 = 117.3 g → 117.3/46 = 2.55 mol. การหมัก CO₂ = mol เอทานอล = 2.55 → 2.55×44 = 112 g → ข้อ ค
ปี 2565,55,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"ผสมสารละลาย Pb(NO₃)₂ 0.100 M 25.0 mL กับ KI 0.100 M 45.0 mL จะเกิดตะกอน PbI₂ กี่กรัม (Pb=207, I=127)",0.576,1.04,2.07,4.15,ข,"Pb²⁺=0.0025 mol, I⁻=0.0045 mol. Pb²⁺+2I⁻→PbI₂: I⁻ เป็นตัวกำหนด → PbI₂ = 0.0045/2 = 0.00225 mol. M(PbI₂)=461 → 0.00225×461 = 1.04 g → ข้อ ข"
ปี 2565,56,ปรนัย (MC),สมการเคมีและสโตอิชิโอเมทรี,"โซเดียมไฮดรอกไซด์ (NaOH) 4.0 g ทำปฏิกิริยากับแคลเซียมคลอไรด์ (CaCl₂) 11.1 g โดยน้ำเป็นตัวทำละลาย หลังปฏิกิริยาเกิดสมบูรณ์มีผลิตภัณฑ์เกิดขึ้นรวมกันกี่กรัม (NaOH=40, CaCl₂=111)",5.8,9.6,13.2,15.1,ข,"2NaOH+CaCl₂→Ca(OH)₂+2NaCl. NaOH=0.1, CaCl₂=0.1; NaOH เป็นตัวกำหนด → Ca(OH)₂=0.05×74=3.7 g, NaCl=0.1×58.5=5.85 g. รวม = 9.55 ≈ 9.6 g → ข้อ ข"
ปี 2565,57,ปรนัย (MC),สารละลาย,สารละลาย BaCl₂ 0.100 mol/L ปริมาตร 200 mL ผสมกับสารละลาย Na₂SO₄ 0.100 mol/L ปริมาตร 300 mL ตะกอน BaSO₄ ที่เกิดขึ้นมีมวลเท่าใด (BaSO₄ MW=233),4.66 g,2.33 g,7.00 g,1.17 g,ก,n(Ba²⁺)=0.020 mol | n(SO₄²⁻)=0.030 mol | Ba²⁺ จำกัด | BaSO₄=0.020 mol × 233=4.66 g → ข้อ ก
ปี 2565,58,ปรนัย (MC),สารละลาย,สารละลาย NaCl ความเข้มข้น 0.500 mol/L ปริมาตร 200 mL ผสมกับน้ำ 300 mL ได้ความเข้มข้นเท่าใด,0.200 mol/L,0.250 mol/L,0.300 mol/L,0.100 mol/L,ข,n=0.500×0.200=0.100 mol ใน 500 mL | C=0.100/0.500=0.200 mol/L → ข้อ ข
ปี 2565,59,ปรนัย (MC),สารละลาย,"สาร A, B, C มีจุดเดือด -162, 78 และ 100°C ตามลำดับ ที่อุณหภูมิ 25°C สาร A, B, C อยู่ในสถานะใด","A=แก๊ส, B=ของเหลว, C=ของเหลว","A=แก๊ส, B=ของเหลว, C=ของแข็ง","A=ของเหลว, B=แก๊ส, C=ของแข็ง","A=แก๊ส, B=แก๊ส, C=ของเหลว",ค,Tb A=-162°C < 25°C → แก๊ส | Tb B=78°C > 25°C → ของเหลว | Tb C=100°C > 25°C → ของเหลว → ข้อ ค
ปี 2565,60,ปรนัย (MC),สารละลาย,ในการไทเทรต สารละลาย NaOH 0.100 mol/L กับ CH₃COOH 0.100 mol/L ที่จุดสมมูล (equivalence point) pH ของสารละลายจะเป็นอย่างไร,pH = 7.00,pH > 7,pH < 7,pH = 0,ง,NaOH + CH₃COOH → CH₃COONa + H₂O | CH₃COO⁻ เป็นเบสอ่อน hydrolysis → pH > 7 → ข้อ ข
ปี 2566,1,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,สัญลักษณ์ต่อไปนี้จะปรากฏบนฉลากสารเคมีประเภทใด,สารที่ระเบิดได้,สารที่กัดกร่อน,สารที่เป็นพิษต่อระบบทางเดินหายใจ,สารที่เป็นอันตรายต่อสิ่งแวดล้อม,ข,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,2,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดผิดเกี่ยวกับการใช้สารเคมี,นักเรียนอ่านฉลากสารเคมี ก่อนนำไปชั่ง,นักเรียนรีบไปเข้าห้องน้ำ โดยฝากเพื่อนที่อยู่ในกลุ่มเดียวกันชั่งสารเคมีแทน,นักเรียนแบ่งกรดเข้มข้นจากขวดบรรจุใส่ในบีกเกอร์ก่อนตวงเพื่อนำไปเจือจาง,นักเรียนชั่งสารเคมีเกินมา เลยนำส่วนเกินเก็บใส่ขวดตามเดิมเพื่อลดการใช้สารเคมี,ค,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,3,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ข้อใดถูกเกี่ยวกับการทิ้งสารเคมี,นักเรียนทิ้งสารละลายกรดเข้มข้นที่เหลือในหลอดทดลองลงอ่างน้ำ,นักเรียนทิ้งสารเคมีทั้งหมดทุกประเภทที่เหลือจากการทดลองรวมกัน,นักเรียนทิ้งตัวทำละลายที่ไม่ละลายน้ำที่เหลือจากการทดลองลงอ่างน้ำโดยตรง,นักเรียนทิ้งสารเคมีแยกตามประเภทจนเต็มภาชนะก่อนแล้วจึงทิ้งในภาชนะใบใหม่,ก,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,4,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,พฤติกรรมในข้อใดเสี่ยงอันตรายในขณะทำปฏิบัติการ I) แต่งตัวถูกระเบียบ เตรียมสารละลาย NaOH บนโต๊ะปฏิบัติการ II) สวมเสื้อคลุมปฏิบัติการและแว่นตานิรภัย ใส่รองเท้าแตะ แบ่งถ่ายสารละลายกรดเข้มข้นในตู้ควัน III) สวมแว่นตานิรภัย รับประทานอาหารในห้องปฏิบัติการระหว่างรอทำการทดลอง IV) เทสารละลายเกลือที่เกิดจากการท,"I, II, III","III, IV, V",II และ III เท่านั้น,III และ V เท่านั้น,ง,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,5,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ของเหลวชนิดหนึ่งมีความหนาแน่น 0.950 g/mL นาย จ. ชั่งของเหลวชนิดนี้โดยใช้เครื่องชั่งละเอียดได้ 23.7500 g นาย ฉ. ชั่งของเหลวชนิดเดียวกันโดยใช้เครื่องชั่งสามคานได้ 38.00 g ปริมาตรของเหลวที่แต่ละ คนคำนวณได้ควรเป็นกี่มิลลิลิตร นาย จ. นาย ฉ. นาย จ. นาย ฉ.,25 40,25.0 40.0,25.0 40,25.00 40.0,ข,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,6,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ของเหลวที่อยู่ในกระบอกตวงตามรูปข้างล่างนี้ควรมีมวลกี่กรัม ถ้าของเหลวมีความหนาแน่น 1.10 g/mL,7.04,7.5,7.7,9.46,ก,(verified) ดูรูปในหน้า 3 ของข้อสอบปี 66
ปี 2566,7,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"พิจารณาการจัดเรียงอิเล็กตรอนของไอออนของธาตุ 4 ชนิด ในตารางต่อไปนี้ ไอออน การจัดเรียงอิเล็กตรอน A– [10Ne] 3s2 D2+ [18Ar] 4s2 3d10 E3+ [10Ne] 3s2 G3– [36Kr] ข้อใดผิดเกี่ยวกับธาตุหรือไอออนของธาตุ A, D, E และ G",A+ จะเสถียรมากกว่า A–,D อยู่หมู่เดียวกับ 50Sn,E3+ จะเสถียรมากกว่า E3–,G อยู่หมู่เดียวกับ E,ง,(verified) ดูรูปในหน้า 4 ของข้อสอบปี 66
ปี 2566,8,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,"พิจารณาจำนวนอิเล็กตรอนในระดับพลังงานย่อย 4s + 3d + 4p ของธาตุ A, D, E และ G ในตารางต่อไปนี้ ธาตุ จำนวนอิเล็กตรอนในระดับพลังงานย่อย 4s + 3d + 4p A 2 D 5 E 12 G 17 ข้อใดถูกเกี่ยวกับสมบัติของธาตุและสารประกอบของ A, D, E และ G",E และ G เป็นอโลหะ,DG3 เป็นโมเลกุลโคเวเลนต์มีขั้ว,G อยู่หมู่เดียวกับธาตุที่มีเลขอะตอม 31,AG2 และ EG2 เป็นสารประกอบไอออนิก,ค,(verified) ดูรูปในหน้า 4 ของข้อสอบปี 66
ปี 2566,9,ปรนัย (MC),โครงสร้างอะตอมและตารางธาตุ,ธาตุ X และธาตุ Z อยู่ในคาบที่ 3 ของตารางธาตุ โดยสารประกอบคลอไรด์ XCl5 และ ZCl6 มีแรงยึดเหนี่ยว ระหว่างโมเลกุลเป็นแรงแผ่กระจายลอนดอน ข้อใดถูกเกี่ยวกับสมบัติของธาตุ X และธาตุ Z,ธาตุ X มีขนาดอะตอมเล็กกว่าธาตุ Z,ธาตุ X มีจำนวนอิเล็กตรอนมากกว่าธาตุ Z,สารประกอบไฮไดรด์ของธาตุ X และของธาตุ Z เป็นของแข็งที่อุณหภูมิห้อง,XCl3 และ ZCl2 เป็นโมเลกุลที่อะตอมกลางมีจำนวนอิเล็กตรอนครบออกเตต,ข,(verified) ดูรูปในหน้า 4 ของข้อสอบปี 66
